,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,salary,BSR Off.,BSR Def.,BSR Total,OOR Off.,OOR Def.,OOR Total,OVR Off.,OVR Def.,OVR total,WAR,Tm18,G18,GS18,MP18,FG18,FGA18,FG%18,3P18,3PA18,3P%18,2P18,2PA18,2P%18,FT18,FTA18,FT%18,ORB18,DRB18,TRB18,AST18,STL18,BLK18,TOV18,PF18,PTS18,ORtg18,DRtg18,PER18,TS%18,3PAr18,FTr18,ORB%18,DRB%18,TRB%18,AST%18,STL%18,BLK%18,TOV%18,USG%18,OWS18,DWS18,WS18,WS/4818,OBPM18,DBPM18,BPM18,VORP18,Games1818,FB18,PAINTPTS18,TO_PTS18,2ND_PTS18,Q1PTS18,Q2PTS18,Q3PTS18,Q4PTS18,PPP18,>8ft%18,8-16ft%18,16-24ft%18,24+%18,BCS%18,>8FTU18,8-16FTU18,16-24FTU18,24+U18,BCU18,AVGDISTA18,AVGDISTM18,AVGDISTF18,AFGM18,JS18,LU18,DUN18,TIPIN18,JS%18,Layup%1818,DUN%18,2PT_m18,3PT_m18,FT_m18,AB_3U18,MRU18,paint_nonra18,ra_usage18,RC_318,LC_318,backcourt_usage18,AB3%18,MR%18,paint_nonra%18,RA%18,RC3%18,LC3%18,BC%18,Games18,FB,PAINTPTS,TO_PTS,2ND_PTS,Q1PTS,Q2PTS,Q3PTS,Q4PTS,PPP,>8ft%,8-16ft%,16-24ft%,24+%,BCS%,>8FTU,8-16FTU,16-24FTU,24+U,BCU,AVGDISTA,AVGDISTM,AVGDISTF,AFGM,JS,LU,DUN,TIPIN,JS%,Layup%18,DUN%,2PT_m,3PT_m,FT_m,AB_3U,MRU,paint_nonra,ra_usage,RC_3,LC_3,backcourt_usage,AB3%,MR%,paint_nonra%,RA%,RC3%,LC3%,BC%,url_list, , .1,Unnamed: 0,Team,Minutes
0,Admiral Schofield,SF,22.0,WAS,6.0,0.0,52.0,6.2,8.8,0.7,3.5,6.2,0.5710000000000001,2.7,2.7,1.0,3.5,3.5,1.0,1.8,5.3,7.1,0.9,0.0,0.0,0.0,2.7,19.4,188.0,121.0,17.3,0.935,0.7,0.4,4.1,12.9,8.4,2.4,0.0,0.0,0.0,9.3,0.2,0.0,0.2,0.187,4.8,-4.5,0.3,0.0,"$898,310 ",3.7,-1.3,2.4,-7.9,11.4,3.4,1.8,1.0,2.8,0.1,WAS,6.0,0.0,52.0,6.2,8.8,0.7,3.5,6.2,0.5710000000000001,2.7,2.7,1.0,3.5,3.5,1.0,1.8,5.3,7.1,0.9,0.0,0.0,0.0,2.7,19.4,188.0,121.0,17.3,0.935,0.7,0.4,4.1,12.9,8.4,2.4,0.0,0.0,0.0,9.3,0.2,0.0,0.2,0.187,4.8,-4.5,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
1,Andre Iguodala,SF,35.0,GSW,68.0,13.0,1578.0,4.6,9.1,0.5,1.4,4.3,0.33299999999999996,3.1,4.8,0.652,1.2,2.0,0.5820000000000001,1.4,6.2,7.6,6.5,1.8,1.5,1.6,2.9,11.7,124.0,109.0,13.1,0.5870000000000001,0.47700000000000004,0.222,3.4,13.2,8.5,16.8,1.8,2.7,13.6,10.4,2.4,1.8,4.2,0.129,0.2,1.7,1.9,1.6,"$17,185,185 ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GSW,68.0,13.0,1578.0,4.6,9.1,0.5,1.4,4.3,0.33299999999999996,3.1,4.8,0.652,1.2,2.0,0.5820000000000001,1.4,6.2,7.6,6.5,1.8,1.5,1.6,2.9,11.7,124.0,109.0,13.1,0.5870000000000001,0.47700000000000004,0.222,3.4,13.2,8.5,16.8,1.8,2.7,13.6,10.4,2.4,1.8,4.2,0.129,0.2,1.7,1.9,1.6,68.0,1.24,2.79,1.18,0.41,1.06,2.06,1.32,1.24,1.288,0.7929999999999999,0.23800000000000002,0.28600000000000003,0.336,0.0,38.41,6.95,6.95,47.35,0.33,14.43,9.4,19.46,82.12,63.58,12.91,21.85,1.66,0.313,0.564,1.0,52.96,37.02,10.03,27.15,10.93,5.63,35.76,9.93,10.26,0.33,0.28,0.242,0.294,0.833,0.467,0.355,0.0,68.0,1.24,2.79,1.18,0.41,1.06,2.06,1.32,1.24,1.288,0.7929999999999999,0.23800000000000002,0.28600000000000003,0.336,0.0,38.41,6.95,6.95,47.35,0.33,14.43,9.4,19.46,82.12,63.58,12.91,21.85,1.66,0.313,0.564,1.0,52.96,37.02,10.03,27.15,10.93,5.63,35.76,9.93,10.26,0.33,0.28,0.242,0.294,0.833,0.467,0.355,0.0,,,,,,
2,Ante Žižić,C,23.0,CLE,4.0,0.0,64.0,7.5,13.6,0.556,0.0,0.0,0.0,7.5,13.6,0.556,3.0,3.8,0.8,3.8,6.8,10.6,0.0,0.8,0.8,0.8,6.0,18.1,124.0,114.0,13.9,0.594,0.0,0.278,8.3,15.4,11.8,0.0,0.8,1.3,4.7,14.1,0.1,0.0,0.1,0.11199999999999999,-3.0,-4.2,-7.3,-0.1,"$2,281,800 ",-3.6,-1.4,-4.9,1.6,-8.0,-6.4,-2.7,-2.6,-5.3,-0.1,CLE,59.0,25.0,1082.0,8.4,15.2,0.5529999999999999,0.0,0.0,0.0,8.4,15.2,0.5529999999999999,4.3,6.1,0.705,5.0,9.7,14.7,2.4,0.6,1.0,2.8,5.2,21.1,116.0,117.0,16.2,0.59,0.0,0.39899999999999997,10.6,22.8,16.4,7.7,0.6,1.8,13.6,18.2,1.7,0.3,2.0,0.087,-1.7,-1.4,-3.1,-0.3,59.0,0.39,5.73,1.03,2.41,1.92,1.61,1.69,2.56,1.3869999999999998,0.586,0.449,0.28600000000000003,0.0,0.0,80.97,14.8,4.23,0.0,0.0,3.97,3.02,5.14,68.31,39.27,45.62,7.55,7.55,0.408,0.616,0.92,79.74,0.0,20.26,0.0,10.27,27.49,62.24,0.0,0.0,0.0,0.0,0.41200000000000003,0.374,0.655,0.0,0.0,0.0,59.0,0.39,5.73,1.03,2.41,1.92,1.61,1.69,2.56,1.3869999999999998,0.586,0.449,0.28600000000000003,0.0,0.0,80.97,14.8,4.23,0.0,0.0,3.97,3.02,5.14,68.31,39.27,45.62,7.55,7.55,0.408,0.616,0.92,79.74,0.0,20.26,0.0,10.27,27.49,62.24,0.0,0.0,0.0,0.0,0.41200000000000003,0.374,0.655,0.0,0.0,0.0,,,,,,
3,B.J. Johnson,SF,23.0,ORL,7.0,0.0,49.0,8.5,17.0,0.5,2.8,6.6,0.429,5.7,10.4,0.545,1.9,1.9,1.0,1.9,5.7,7.6,0.0,1.9,0.0,1.9,3.8,21.7,111.0,115.0,12.8,0.609,0.389,0.111,4.2,13.2,8.6,0.0,1.9,0.0,9.6,17.4,0.0,0.0,0.1,0.066,-3.1,-5.4,-8.5,-0.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOT,7.0,0.0,49.0,8.5,17.0,0.5,2.8,6.6,0.429,5.7,10.4,0.545,1.9,1.9,1.0,1.9,5.7,7.6,0.0,1.9,0.0,1.9,3.8,21.7,111.0,115.0,12.8,0.609,0.389,0.111,4.2,13.2,8.6,0.0,1.9,0.0,9.6,17.4,0.0,0.0,0.1,0.066,-3.1,-5.4,-8.5,-0.1,7.0,1.29,0.86,0.86,0.0,1.29,0.43,0.71,0.86,1.278,0.4,0.75,0.5,0.5,0.0,27.78,22.22,11.11,33.33,5.56,16.11,13.89,18.33,66.67,72.22,22.22,5.56,0.0,0.5379999999999999,0.25,1.0,52.17,39.13,8.7,16.67,27.78,11.11,22.22,0.0,16.67,5.56,0.33299999999999996,0.6,1.0,0.25,0.0,0.667,0.0,7.0,1.29,0.86,0.86,0.0,1.29,0.43,0.71,0.86,1.278,0.4,0.75,0.5,0.5,0.0,27.78,22.22,11.11,33.33,5.56,16.11,13.89,18.33,66.67,72.22,22.22,5.56,0.0,0.5379999999999999,0.25,1.0,52.17,39.13,8.7,16.67,27.78,11.11,22.22,0.0,16.67,5.56,0.33299999999999996,0.6,1.0,0.25,0.0,0.667,0.0,,,,,,
4,Boban Marjanović,C,31.0,DAL,8.0,1.0,104.0,11.0,22.1,0.5,0.0,0.5,0.0,11.0,21.6,0.511,4.6,5.5,0.833,5.5,11.5,17.0,2.3,0.9,0.5,3.2,6.4,26.7,110.0,108.0,17.9,0.544,0.021,0.25,12.3,24.1,18.4,7.5,0.9,0.8,11.6,24.4,0.1,0.1,0.3,0.12,-2.7,-2.1,-4.8,-0.1,"$3,500,000 ",0.2,-2.1,-1.9,13.7,-1.2,12.5,2.6,-2.1,0.5,0.2,TOT,58.0,12.0,681.0,11.1,18.0,0.615,0.3,0.7,0.4,10.8,17.3,0.624,6.8,9.1,0.748,6.0,12.3,18.4,3.7,1.1,1.9,4.1,6.2,29.3,123.0,107.0,24.2,0.664,0.038,0.504,14.0,26.9,20.6,12.8,1.1,3.1,15.7,23.3,2.1,0.9,3.0,0.212,1.4,0.5,1.9,0.7,56.0,0.3,5.14,1.21,2.43,1.89,1.7,1.95,1.96,1.6230000000000002,0.665,0.513,0.273,0.4,0.0,76.92,15.0,4.23,3.85,0.0,4.79,3.58,6.73,66.88,42.69,38.08,15.38,3.85,0.46799999999999997,0.677,0.9,73.93,2.84,23.22,2.31,9.62,24.23,62.31,1.54,0.0,0.0,0.16699999999999998,0.48,0.47600000000000003,0.7040000000000001,0.75,0.0,0.0,56.0,0.3,5.14,1.21,2.43,1.89,1.7,1.95,1.96,1.6230000000000002,0.665,0.513,0.273,0.4,0.0,76.92,15.0,4.23,3.85,0.0,4.79,3.58,6.73,66.88,42.69,38.08,15.38,3.85,0.46799999999999997,0.677,0.9,73.93,2.84,23.22,2.31,9.62,24.23,62.31,1.54,0.0,0.0,0.16699999999999998,0.48,0.47600000000000003,0.7040000000000001,0.75,0.0,0.0,,,,,,
5,Bogdan Bogdanović,SG,27.0,SAC,16.0,0.0,445.0,9.4,22.5,0.41700000000000004,5.1,12.9,0.39299999999999996,4.3,9.6,0.44799999999999995,3.2,4.4,0.725,0.2,4.5,4.7,8.5,2.8,0.2,3.2,3.3,27.0,111.0,110.0,18.0,0.5529999999999999,0.574,0.196,0.5,10.8,5.5,28.3,2.8,0.4,11.6,24.5,0.7,0.4,1.1,0.11800000000000001,3.4,-1.5,1.9,0.4,"$8,529,386 ",4.1,1.1,5.2,-0.2,1.4,1.3,3.6,1.2,4.8,1.7,SAC,70.0,17.0,1947.0,8.6,20.6,0.418,3.2,8.9,0.36,5.4,11.7,0.462,3.2,3.9,0.8270000000000001,1.0,4.9,5.8,6.4,1.7,0.4,2.8,3.4,23.7,107.0,113.0,14.1,0.53,0.431,0.188,2.1,11.0,6.4,19.3,1.7,0.7,11.1,22.3,1.3,1.4,2.7,0.067,0.5,-1.2,-0.7,0.6,69.0,1.7,4.81,1.97,1.2,2.74,4.36,2.72,4.1,1.1440000000000001,0.5,0.445,0.392,0.36,0.0,30.01,15.01,11.96,42.67,0.35,15.66,13.91,16.92,53.09,76.91,21.81,0.47,0.82,0.395,0.5,0.75,46.11,40.27,13.63,37.63,16.65,19.23,21.1,2.7,2.34,0.35,0.358,0.415,0.409,0.55,0.348,0.4,0.0,69.0,1.7,4.81,1.97,1.2,2.74,4.36,2.72,4.1,1.1440000000000001,0.5,0.445,0.392,0.36,0.0,30.01,15.01,11.96,42.67,0.35,15.66,13.91,16.92,53.09,76.91,21.81,0.47,0.82,0.395,0.5,0.75,46.11,40.27,13.63,37.63,16.65,19.23,21.1,2.7,2.34,0.35,0.358,0.415,0.409,0.55,0.348,0.4,0.0,,,,,,
6,Bojan Bogdanović,SF,30.0,UTA,17.0,17.0,565.0,10.6,22.1,0.479,4.7,10.0,0.466,5.9,12.1,0.49,5.1,5.7,0.882,0.9,5.1,6.0,3.1,1.1,0.3,4.0,2.9,30.9,111.0,107.0,17.9,0.627,0.452,0.261,2.2,10.9,6.8,11.6,1.1,0.6,13.9,26.0,0.9,0.7,1.6,0.138,2.5,-0.8,1.8,0.5,"$17,000,000 ",1.9,-0.2,1.6,7.9,-1.6,6.3,3.1,-0.5,2.6,1.5,IND,81.0,81.0,2573.0,9.9,20.0,0.49700000000000005,3.1,7.3,0.425,6.8,12.6,0.5379999999999999,4.7,5.8,0.807,0.6,5.7,6.3,3.1,1.3,0.0,2.5,2.6,27.6,114.0,110.0,16.1,0.613,0.36700000000000005,0.29,1.5,12.7,7.2,9.5,1.3,0.0,10.2,22.4,3.9,2.8,6.8,0.126,1.4,-1.4,0.0,1.3,81.0,3.33,7.16,3.78,1.63,5.32,4.15,4.89,3.57,1.385,0.594,0.419,0.47100000000000003,0.425,0.0,41.33,15.24,6.67,36.76,0.0,12.98,11.19,14.75,72.99,65.24,31.05,2.95,0.76,0.429,0.5920000000000001,1.0,49.24,33.84,16.92,25.52,15.14,14.48,33.62,4.67,6.57,0.0,0.38799999999999996,0.428,0.42100000000000004,0.64,0.449,0.551,0.0,81.0,3.33,7.16,3.78,1.63,5.32,4.15,4.89,3.57,1.385,0.594,0.419,0.47100000000000003,0.425,0.0,41.33,15.24,6.67,36.76,0.0,12.98,11.19,14.75,72.99,65.24,31.05,2.95,0.76,0.429,0.5920000000000001,1.0,49.24,33.84,16.92,25.52,15.14,14.48,33.62,4.67,6.57,0.0,0.38799999999999996,0.428,0.42100000000000004,0.64,0.449,0.551,0.0,,,,,,
7,Brandon Clarke,PF,23.0,MEM,16.0,1.0,352.0,11.4,18.0,0.635,1.2,2.6,0.45,10.2,15.3,0.667,2.2,2.6,0.85,3.1,10.0,13.1,2.6,1.2,2.1,2.2,3.4,26.2,126.0,111.0,22.7,0.6859999999999999,0.146,0.146,7.3,23.2,15.2,9.1,1.2,4.0,10.4,19.1,1.0,0.3,1.2,0.17,2.1,0.4,2.5,0.4,"$2,478,840 ",0.7,-1.0,-0.2,-0.1,-3.7,-3.8,0.7,-1.5,-0.8,0.3,MEM,16.0,1.0,352.0,11.4,18.0,0.635,1.2,2.6,0.45,10.2,15.3,0.667,2.2,2.6,0.85,3.1,10.0,13.1,2.6,1.2,2.1,2.2,3.4,26.2,126.0,111.0,22.7,0.6859999999999999,0.146,0.146,7.3,23.2,15.2,9.1,1.2,4.0,10.4,19.1,1.0,0.3,1.2,0.17,2.1,0.4,2.5,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
8,Brian Bowen,SG,21.0,IND,3.0,0.0,10.0,4.8,19.3,0.25,0.0,4.8,0.0,4.8,14.5,0.33299999999999996,0.0,0.0,0.0,0.0,4.8,4.8,0.0,0.0,4.8,0.0,0.0,9.7,55.0,104.0,1.2,0.25,0.25,0.0,0.0,10.8,5.4,0.0,0.0,8.8,0.0,17.1,0.0,0.0,0.0,-0.114,-12.0,0.4,-11.6,0.0,0,-7.6,7.4,-0.2,-1.1,0.8,-0.3,-6.7,6.5,-0.2,0.0,IND,3.0,0.0,10.0,4.8,19.3,0.25,0.0,4.8,0.0,4.8,14.5,0.33299999999999996,0.0,0.0,0.0,0.0,4.8,4.8,0.0,0.0,4.8,0.0,0.0,9.7,55.0,104.0,1.2,0.25,0.25,0.0,0.0,10.8,5.4,0.0,0.0,8.8,0.0,17.1,0.0,0.0,0.0,-0.114,-12.0,0.4,-11.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
9,Bruno Fernando,C,21.0,ATL,18.0,0.0,230.0,6.9,12.6,0.5479999999999999,0.6,2.6,0.231,6.3,10.0,0.633,2.4,4.1,0.6,4.3,6.7,11.0,4.1,1.0,1.6,3.5,6.1,16.9,109.0,115.0,13.6,0.586,0.21,0.32299999999999995,10.1,15.9,13.0,12.8,1.0,3.2,19.4,15.8,0.2,0.1,0.3,0.061,-1.0,-0.4,-1.4,0.0,"$1,400,000 ",-1.8,-0.3,-2.1,-2.0,6.2,4.3,-1.9,1.0,-0.9,0.2,ATL,18.0,0.0,230.0,6.9,12.6,0.5479999999999999,0.6,2.6,0.231,6.3,10.0,0.633,2.4,4.1,0.6,4.3,6.7,11.0,4.1,1.0,1.6,3.5,6.1,16.9,109.0,115.0,13.6,0.586,0.21,0.32299999999999995,10.1,15.9,13.0,12.8,1.0,3.2,19.4,15.8,0.2,0.1,0.3,0.061,-1.0,-0.4,-1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
